sOccupation,cJobTitle
386,Abalone Diver
128,Abbess
128,Abbot
438,Able Seaman
438,Able Seawoman
353,Abrasive Wheel Moulder
88,Academic Adviser
182,Acceptance Officer (Financial Institution)
133,Accompanist
351,Accordion Maker
351,Accordion Tuner
230,Account Collector
104,Account Executive (Advertising)
104,Account Executive (Marketing)
105,Account Executive (Public Relations)
187,"Account Executive (Sales (Except ICT, Industrial, Medical And Pharmaceutical Products))"
106,Account Executive (Sales (Industrial Products))
107,Account Executive (Sales (Information And Communications Technology))
106,Account Executive (Sales (Medical Products))
106,Account Executive (Sales (Pharmaceuticals))
104,Account Manager (Advertising)
107,Account Manager (Computer Technology)
107,Account Manager (ICT)
104,Account Manager (Marketing)
191,Account Manager (Organizing Conferences Or Events)
105,Account Manager (Public Relations)
187,"Account Manager (Sales (Except ICT, Industrial, Medical And Pharmaceutical Products))"
106,Account Manager (Sales (Industrial Products))
107,Account Manager (Sales (Information And Communications Technology))
106,Account Manager (Sales (Medical Products))
106,Account Manager (Sales (Pharmaceuticals))
96,Accountancy Consultant
96,Accountant
183,Accounting Assistant
10,Accounting Director
225,Accounting Machine Clerk
225,Accounting Machine Operator
10,Accounting Manager
368,Accounting-Machine Mechanic
239,Accounts Clerk
10,Accounts Director
10,Accounts Manager
245,Acquisitions Clerk (Library)
138,Acrobat
191,Activities Officer (Organising Conferences Or Events)
136,Actor
184,Actuarial Assistant
240,Actuarial Clerk
41,Actuary
176,Acupressure Therapist
69,Acupuncture Practitioner
170,Acupuncture Technician
69,Acupuncturist
127,Addictions Counsellor
225,Adding Machine Clerk
225,Adding Machine Operator
251,Addressing Machine Clerk
240,Adjustment Clerk
196,Administration Coordinator (Office Administration Or Management)
198,Administrative Assistant
199,Administrative Assistant (Doctors Surgery)
197,Administrative Assistant (Legal)
199,Administrative Assistant (Medical Office)
198,Administrative Reporter (Verbatim)
198,Administrative Secretary
13,Administrative Services Director
13,Administrative Services Manager
1,Admiral
70,Advanced Care Paramedic
194,Advertising  Salesperson
251,Advertising Clerk
104,Advertising Consultant
104,Advertising Copywriter
15,Advertising Director
15,Advertising Manager
277,Advertising Model
212,Advertising Photographer
104,Advertising Specialist
212,Aerial Photographer
61,Aerial Surveyor
211,Aerobics Instructor
211,Aerobics Trainer
37,Aerodynamicist
346,Aeromechanic
145,Aeronautical Draughtsperson
49,Aeronautical Engineer
49,Aeronautics Engineer
49,Aerospace Engineer
25,After School Care Director
90,After School Tutor (Languages)
94,After School Tutor (Mathematics)
187,After-Sales Service Adviser
288,Aged Care Companion
27,Aged Care Facility Manager
288,Aged Care Helper
27,Aged Care Manager
43,Agricultural  Consultant
43,Agricultural Adviser
43,Agricultural Engineer
43,Agricultural Extension  Officer
43,Agricultural Extension Supervisor
340,Agricultural Implement Smith
205,Agricultural Inspector
424,Agricultural Machinery Assembler
347,Agricultural Machinery Erector-Installer
347,Agricultural Machinery Fitter
347,Agricultural Machinery Mechanic
434,Agricultural Machinery Operator
49,Agricultural Machines Engineer
18,Agricultural Production Manager
43,Agricultural Scientist
43,Agriculturist
43,Agrologist
43,Agronomist
157,Agronomy Technician
109,AI Engineer
180,Aids Counsellor
1,Air Chief Marshal
1,Air Commodore
330,Air Conditioning Equipment Mechanic
3,Air Force Airman
2,Air Force Airman (Warrant Officer)
3,Air Force Airwoman
2,Air Force Airwoman (Warrant Officer)
1,Air Force Captain
3,Air Force Corporal
