rank,name,total_jobs,active_jobs,total_positions,avg_salary,industry
1,The Ritz Carlton Hotel,163,92,22,52972,Accommodation and Food Service Activities
2,Khrg Cayman Employer Ltd,136,57,0,0,Accommodation and Food Service Activities
3,Real Deal Ltd,116,57,0,0,Administrative and Support Service Activities
4,Foster's Food Fair Ltd.,104,65,10,55292,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles
5,Agl Group Ltd T/a Docuplus Agency,102,43,0,0,Professional, Scientfic and Technical Activities
6,Maplesfs Service Company Limited,89,40,0,0,Financial and Insurance Activities
7,Handful of Purpose Gardening & Maintenance Ltd T/A A&T Construction and Maintenance Services,88,32,2,42120,Construction
8,Colin Williams T/a Css Employment Agency,87,49,0,0,Administrative and Support Service Activities
9,Pyramid Cayman Hotel Services,80,17,0,0,Accommodation and Food Service Activities
10,Arboretum Services Limited,80,44,7,106429,Professional, Scientfic and Technical Activities
11,Kirk Market,76,33,35,29813,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles
12,Grand Cayman Marriott Beach Resort,76,27,3,60975,Accommodation and Food Service Activities
13,Hospitality Services Ltd. T/a Hospitality Services Ltd,73,27,0,0,Administrative and Support Service Activities
14,Maples Group,71,43,7,100400,Professional, Scientfic and Technical Activities
15,KEMPA HOME INTERNATIONAL LTD T/A KEMPA HOME,69,64,0,0,Arts, Entertainment and Recreation
16,Cayman Islands Monetary Authority,69,32,3,101294,Financial and Insurance Activities
17,Steppingstones Recruitment Ltd,68,38,0,0,Administrative and Support Service Activities
18,Cayman Prep And High School,67,25,0,0,Education
19,Invenio Global Search,65,38,0,0,Administrative and Support Service Activities
20,Health City Cayman Islands,64,27,1,30000,Human Health and Social Work Activities
21,Caribbean Utilities Company Ltd,64,40,3,71278,Electricity, Gas, Steam, and Air Conditioning Supply
22,Market Street Ltd.,63,13,0,0,Administrative and Support Service Activities
23,Pb Employee Co Ltd,61,26,0,0,Administrative and Support Service Activities
24,Walkers,59,32,10,131667,Professional, Scientfic and Technical Activities
25,ISLAND TASTE GROUP LTD,58,3,0,0,Financial and Insurance Activities
26,Baraud International Recruitment Consultants Ltd.,58,30,0,0,Administrative and Support Service Activities
27,Ey Cayman Ltd.t/a Ey,55,47,0,0,Professional, Scientfic and Technical Activities
28,The Agency Group Ltd,55,17,3,21667,Administrative and Support Service Activities
29,Expertise Limited,54,26,0,0,Professional, Scientfic and Technical Activities
30,Maverick Group Ltd. T/a Au Pair,54,16,0,0,Administrative and Support Service Activities
31,Roper Enterprises Ltd,50,22,1,23400,Administrative and Support Service Activities
32,Cayman Brac Beach Resort,47,24,0,0,Accommodation and Food Service Activities
33,Tranel Group Ltd,46,15,1,65000,Construction
34,Progressive Distributors Ltd.,43,21,7,45135,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles
35,Sea Grape Secretarial Service,43,22,4,27118,Professional, Scientfic and Technical Activities
36,The University College Of The Cayman Islands,42,30,0,0,Education
37,Hurley's (grand Harbour) Ltd. T/a Hurley's Market Place,42,19,0,0,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles
38,Iss (cayman) Ltd.,41,18,0,0,Education
39,Gyro Hut Ltd T/a Al La Kebab,39,23,0,0,Accommodation and Food Service Activities
40,A. L. Thompson Building Supplies Ltd. T/a A. L. Thompson's,39,24,0,0,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles
41,Red Sail Sports Cayman Ltd,39,20,13,33800,Transportation and Storage
42,Pricewaterhousecoopers,38,17,0,0,Professional, Scientfic and Technical Activities
43,Tortuga Rum Company Limited,38,26,0,0,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles
44,Ogier,38,27,2,185000,Professional, Scientfic and Technical Activities
45,Went Global Ltd T/a Fastsigns 1900,38,15,0,0,Arts, Entertainment and Recreation
46,Geoffrey Dixon T/a Zippy Farm,37,15,0,0,Agriculture, Forestry and Fishing
47,Blue Cilantro Limited,37,11,5143,20768,Accommodation and Food Service Activities
48,Teann Lara Bodden T/a Caribcay Construction,37,11,0,0,Construction
49,Mise En Place Ltd. T/a Mise En Place,35,15,0,0,Accommodation and Food Service Activities
50,Jefferson Pizza Services Ltd,34,12,13,31243,Accommodation and Food Service Activities
51,Dart People Ltd. T/a Dart,34,14,0,0,Professional, Scientfic and Technical Activities
52,Marco T. Duarte-ezekiel T/a Efficient Administrative Assistants,33,12,0,0,Administrative and Support Service Activities
53,Cellular World Ltd T/a Cellular World Repairs,32,12,0,0,Other Service Activities
54,Prime Consulting Ltd,32,24,3,26720,Professional, Scientfic and Technical Activities
55,Associated Industries Ltd. T/a Parker's/scott Fences/ai Wholesale,31,14,0,0,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles
56,Chester Frederick T/a Cayman Paradise Tours,30,3,0,0,Administrative and Support Service Activities
57,Ocean Frontiers Ltd.,29,17,1,33003,Administrative and Support Service Activities
58,Cayman Premix Limited T/a Supermix,29,15,0,0,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles
59,Faithia Pars T/a D & F Unique Construction,28,10,0,0,Construction
60,Prosecco Limited,28,20,0,0,Financial and Insurance Activities
61,Cayman Distributors Limited,28,10,1,28080,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles
62,Flowers Restaurateurs (1998) Ltd T/a The Brasserie,27,17,0,0,Accommodation and Food Service Activities
63,Thompson Resorts,27,15,0,0,Accommodation and Food Service Activities
64,Kpmg,27,13,0,0,Professional, Scientfic and Technical Activities
65,The Security Centre Ltd,27,10,1,110000,Administrative and Support Service Activities
66,Dac Ltd T/a Dac Plumbing & A/c Mechanical,27,8,0,0,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles
67,Richard Parchment,27,25,0,0,Administrative and Support Service Activities
