priority_rank,name,score,segment,industry,total_jobs,active_jobs,avg_salary,recommended_tier,suggested_hook,is_warm_intro,is_government
1,Maplesfs Service Company Limited,83,Fund Administration & Corporate Services,Financial and Insurance Activities,89,40,0,Enterprise,You posted 89 jobs last year. careers.ky gives you direct access to Caymanian talent for every one of them.,✓,
2,ISLAND TASTE GROUP LTD,83,Other Services,Financial and Insurance Activities,58,3,0,Enterprise,You posted 58 jobs last year. careers.ky gives you direct access to Caymanian talent for every one of them.,,
3,Grand Cayman Marriott Beach Resort,79,Hotels & Resorts,Accommodation and Food Service Activities,76,27,60975,Enterprise,You posted 76 jobs last year. careers.ky gives you direct access to Caymanian talent for every one of them.,,
4,Rawlinson & Hunter Limited,78,Other Services,Financial and Insurance Activities,17,13,100000,Pro,"17 positions at 100000K avg. careers.ky: direct to talent, zero recruiter fees.",,
5,Walkers Professional Services,78,Offshore Law Firms,Financial and Insurance Activities,16,7,132500,Pro,"16 positions at 132500K avg. careers.ky: direct to talent, zero recruiter fees.",✓,
6,Greenlight Reinsurance; Ltd.,78,"Insurance (Brokers, Captive, Underwriters)",Financial and Insurance Activities,11,5,137500,Pro,"11 positions at 137500K avg. careers.ky: direct to talent, zero recruiter fees.",,
7,Prosecco Limited,76,Other Services,Financial and Insurance Activities,28,20,0,Enterprise,"28 positions at 0K avg. careers.ky: direct to talent, zero recruiter fees.",,
8,Butterfield Bank (cayman) Limited,76,Banking & Retail Finance,Financial and Insurance Activities,26,14,0,Enterprise,"26 positions at 0K avg. careers.ky: direct to talent, zero recruiter fees.",,
9,Intertrust Holding (cayman) Limited,76,Fund Administration & Corporate Services,Financial and Insurance Activities,22,9,0,Enterprise,"22 positions at 0K avg. careers.ky: direct to talent, zero recruiter fees.",,
10,Harmonic Fund Services,76,Fund Administration & Corporate Services,Financial and Insurance Activities,21,15,0,Enterprise,"21 positions at 0K avg. careers.ky: direct to talent, zero recruiter fees.",,
11,The Ritz Carlton Hotel,75,Automotive & Marine,Accommodation and Food Service Activities,163,92,52972,Enterprise,You posted 163 jobs last year. careers.ky gives you direct access to Caymanian talent for every one of them.,,
12,Arboretum Services Limited,75,Other Services,Professional,80,44,106429,Enterprise,"80 positions at CI$106,429 avg. That's CI$1,702,000+ in recruiter fees. careers.ky: CI$9,588/year Enterprise.",,
13,Maples Group,75,Fund Administration & Corporate Services,Professional,71,43,100400,Enterprise,"71 positions at CI$100,400 avg. That's CI$1,425,000+ in recruiter fees. careers.ky: CI$9,588/year Enterprise.",✓,
14,Walkers,75,Offshore Law Firms,Professional,59,32,131667,Enterprise,"59 positions at CI$131,667 avg. That's CI$1,553,000+ in recruiter fees. careers.ky: CI$9,588/year Enterprise.",✓,
15,Cayman Prep And High School,73,Education & Training,Education,67,25,0,Enterprise,You posted 67 jobs last year. careers.ky gives you direct access to Caymanian talent for every one of them.,,
16,Foster's Food Fair Ltd.,72,Grocery & Retail,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,104,65,55292,Enterprise,You posted 104 jobs last year. careers.ky gives you direct access to Caymanian talent for every one of them.,,
17,Caribbean Utilities Company Ltd,72,Utilities & Telecoms,Electricity,64,40,71278,Enterprise,You posted 64 jobs last year. careers.ky gives you direct access to Caymanian talent for every one of them.,,
18,Khrg Cayman Employer Ltd,70,Other Services,Accommodation and Food Service Activities,136,57,0,Enterprise,You posted 136 jobs last year. careers.ky gives you direct access to Caymanian talent for every one of them.,,
19,Handful of Purpose Gardening & Maintenance Ltd T/A A&T Construction and Maintenance Services,70,Construction & Contractors,Construction,88,32,42120,Enterprise,You posted 88 jobs last year. careers.ky gives you direct access to Caymanian talent for every one of them.,,
20,Pyramid Cayman Hotel Services,70,Hotels & Resorts,Accommodation and Food Service Activities,80,17,0,Enterprise,You posted 80 jobs last year. careers.ky gives you direct access to Caymanian talent for every one of them.,,
21,Orchid Development Ltd,70,Real Estate & Property Management,Real Estate Activities,26,12,0,Enterprise,"26 hires. careers.ky direct: eliminate recruiter fees (~CI$78,000 saved annually).",,
22,Kirk Market,69,Grocery & Retail,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,76,33,29813,Enterprise,You posted 76 jobs last year. careers.ky gives you direct access to Caymanian talent for every one of them.,,
23,Ogier,68,Offshore Law Firms,Professional,38,27,185000,Enterprise,38 hires. careers.ky takes the work permit headache out. Skip the recruiter middleman.,✓,
24,Conyers Dill & Pearman,68,Offshore Law Firms,Professional,25,8,108000,Enterprise,25 hires. careers.ky takes the work permit headache out. Skip the recruiter middleman.,,
25,Campbells,68,Other Services,Professional,23,9,285000,Enterprise,23 hires. careers.ky takes the work permit headache out. Skip the recruiter middleman.,✓,
