cJobId,cTitle,sWork,sEducation,sExperience,sLocation,sOccupation,sIndustry,fMinSalary,fMaxSalary,fMeanSalary
W4G3G5,Mason / Steelfitter / Carpenter,1,1,4,3,320,5,28080.00,42120.00,35100.00
W6F4C4,Assistant Store Supervisor,1,2,3,3,33,0,19500.00,28600.00,24050.00
B3P7N8,Hair Stylist,1,1,3,3,259,13,28080.00,91000.00,59540.00
B8X5P5,Administrative Clerk (purchasing),1,2,2,3,239,19,20800.00,24960.00,22880.00
C6B6Q3,Heavy Equipment Mechanic,1,1,4,3,345,18,24700.00,29640.00,27170.00
D2P3K6,Truck Driver,1,1,3,3,433,17,23400.00,23400.00,23400.00
G2C2M3,Security Guard,1,1,4,3,293,2,12480.00,18720.00,15600.00
H5C6U5,Padi Dive Instructor,1,3,2,3,386,2,21600.00,36000.00,28800.00
K2S3Y6,Kitchen Helper Helper Helper,1,1,4,3,463,0,12480.00,12480.00,12480.00
N3C8N2,Warehouse Counter Sales Rep,1,1,2,3,283,19,27999.92,27999.92,27999.92
N4Y4V3,Cashier,1,1,2,3,275,19,14040.00,30000.00,22020.00
T4W7Q8,Handy Man,1,1,3,3,262,2,20800.00,31200.00,26000.00
W4H2U3,Equipment Yard Associate,1,1,2,3,456,19,21060.00,23400.00,22230.00
X2Y8M3,Septic Truck Driver,1,1,4,3,433,18,18005.26,19211.92,18608.59
Y4K8J4,Food And Beverage Server,1,1,4,3,256,0,12480.00,12480.00,12480.00
Y5X6N8,Tiler,1,1,4,3,325,5,35100.00,42120.00,38610.00
A4S3N6,General Helper,1,1,1,3,441,19,14040.00,16380.00,15210.00
A5Y7F7,General Maintenance Man,1,1,2,2,454,0,25740.00,28080.00,26910.00
A8C7N5,Junior Office Coordinator ,1,1,3,1,99,8,25000.00,30000.00,27500.00
B2S8E4,Painter,1,1,7,0,331,5,32760.00,32760.00,32760.00
B3E2B4,Kitchen Helper,1,1,4,3,463,0,14040.00,18720.00,16380.00
B4N8E2,Coordinator,1,2,3,3,99,2,20800.00,31200.00,26000.00
B4Y3V7,Senior Banking Services Administrator ,1,5,3,1,183,8,45833.33,58333.33,52083.33
B5F6S5,Warehouse Worker/deliveryman,1,1,2,5,283,19,32500.00,38350.00,35425.00
B7A6V3,Yacht Maintenance/captain/ Instructor Maintenance/captain/ Instructor Maintenance/captain/,1,3,4,3,438,11,38409.80,41393.30,39901.55
B8J4U6,Yacht Maintenance/captain/ Instructor Maintenance/captain/ Instructor Maintenance/captain/,1,3,4,3,438,11,33150.00,44200.00,38675.00
B8N5T6,Construction Laborer,1,1,4,3,454,5,14040.00,28080.00,21060.00
B8P7E6,Massage Therapist,1,1,2,3,259,13,14040.00,18720.00,16380.00
C2K4R5,Senior Account Manager,1,5,4,8,96,14,83333.33,100000.00,91666.67
C2X6F6,Cabinet Installer,1,1,3,3,322,11,28080.00,35100.00,31590.00
C3C4D4,Appliance Installation Technician,1,3,3,3,425,19,23400.00,32760.00,28080.00
C4D2F6,Janitor/ Cleaner,1,1,4,3,441,2,14040.00,14040.00,14040.00
C6Q3X2,Pool & Beach Attendant,1,1,2,3,256,0,11700.00,17550.00,14625.00
D3M3P4,Groundsman,1,1,1,3,242,19,23985.00,33017.40,28501.20
D4H4V4,Insolvency Senior Manager,1,5,6,3,96,8,116666.67,133333.33,125000.00
D4T5J5,Auto Mechanic,1,1,4,3,345,19,18720.00,28080.00,23400.00
D6U7G6,Carpenter/steel Fixer,1,1,4,3,322,5,23400.00,35100.00,29250.00
