cJobId,cTitle,Status,Created Date,Start Date,End Date,sWork,Employer,sEducation,sExperience,sLocation,sOccupation,Occupation,Hours Per Week,Currency,Salary Frequency,Salary Description,Minimum Salary,Maximum Salary,fMinSalary,fMaxSalary,fMeanSalary,Sub-Industry,sIndustry
W4G3G5,Mason / Steelfitter / Carpenter,Closed,01-Jan-25,01-Jan-25,15-Jan-25,Full-time,Edgewater Development Ltd,High School or Equivalent,5-6 Years,George Town,320,Stonemasons stone cutters splitters and carvers,45,KYD,Bi-Weekly,"KYD$28,080 - KYD$42,120 Per Annum (paid Bi-Weekly)","$28,080","$42,120","$28,080","$42,120","$35,100",Construction & Civil Engineering,Construction
W6F4C4,Assistant Store Supervisor,Closed,01-Jan-25,01-Jan-25,15-Jan-25,Full-time,Jefferson Pizza Services Ltd,Some College/University,3-4 Years,George Town,33,Restaurant managers,45,KYD,Per Month,"KYD$19,500 - KYD$28,600 Per Annum (paid Monthly)","$19,500","$28,600","$19,500","$28,600","$24,050","Restaurants, Mobile Food & Beverages Services",Accommodation and Food Service Activities
B3P7N8,Hair Stylist,Closed,02-Jan-25,02-Jan-25,16-Jan-25,Full-time,Pierce & Co. Ltd T/a Artista Salon,High School or Equivalent,3-4 Years,George Town,259,Beauticians and related workers,40,KYD,Bi-Weekly,"KYD$1,080 - KYD$3,500 Bi-Weekly (paid Bi-Weekly)","$28,080","$91,000","$28,080","$91,000","$59,540","Hairdressing, Beauty Treatment & Other Personal Care",Other Service Activities
B8X5P5,Administrative Clerk (purchasing),Closed,02-Jan-25,02-Jan-25,16-Jan-25,Full-time,Kirk Market,Some College/University,1-2 Years,George Town,239,Accounting and bookkeeping clerks,40,KYD,Per Week,"KYD$20,800 - KYD$24,960 Per Annum (paid Weekly)","$20,800","$24,960","$20,800","$24,960","$22,880",Wholesale & Retail Sale of Business & Consumer Products,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles
C6B6Q3,Heavy Equipment Mechanic,Closed,02-Jan-25,02-Jan-25,16-Jan-25,Full-time,Professional Waste Management Limited,High School or Equivalent,5-6 Years,George Town,345,Motor vehicle mechanics and repairers,47.5,KYD,Bi-Weekly,"KYD$24,700 - KYD$29,640 Per Annum (paid Bi-Weekly)","$24,700","$29,640","$24,700","$29,640","$27,170","Water Supply, Sewerage & Waste Management","Water Supply; Sewerage, Waste Management and Remediation Activities"
D2P3K6,Truck Driver,Closed,02-Jan-25,02-Jan-25,16-Jan-25,Full-time,Naask Ltd. T/a Cayman Islands Custom Agency,High School or Equivalent,3-4 Years,George Town,433,Heavy truck and lorry drivers,45,KYD,Per Hour,"KYD$23,400 Per Annum (paid Per Hour)","$23,400","$23,400","$23,400","$23,400","$23,400",Customs & Shipping Agents,Transportation and Storage
G2C2M3,Security Guard,Closed,02-Jan-25,02-Jan-25,16-Jan-25,Full-time,Elite Security Ltd,High School or Equivalent,5-6 Years,George Town,293,Security guards,40,KYD,Per Hour,"KYD$12,480 - KYD$18,720 Per Annum (paid Per Hour)","$12,480","$18,720","$12,480","$18,720","$15,600",Private Security Services,Administrative and Support Service Activities
H5C6U5,Padi Dive Instructor,Closed,02-Jan-25,02-Jan-25,16-Jan-25,Full-time,Sunset Divers Limited,Certificate/Diploma,1-2 Years,George Town,386,Underwater Divers,45,KYD,Per Month,"KYD$21,600 - KYD$36,000 Per Annum (paid Monthly)","$21,600","$36,000","$21,600","$36,000","$28,800","Travel Agencies, Tour Operators & Reservation Services",Administrative and Support Service Activities
K2S3Y6,Kitchen Helper Helper Helper,Closed,02-Jan-25,02-Jan-25,16-Jan-25,Full-time,Claudette Thompson T/a Exclusive Restaurant,High School or Equivalent,5-6 Years,George Town,463,Kitchen helpers,40,KYD,Per Hour,KYD$6 Per Hour (paid Per Hour),"$12,480","$12,480","$12,480","$12,480","$12,480","Restaurants, Mobile Food & Beverages Services",Accommodation and Food Service Activities
N3C8N2,Warehouse Counter Sales Rep,Closed,02-Jan-25,02-Jan-25,16-Jan-25,Full-time,Massive Equipment Rentals & Sales Ltd.,High School or Equivalent,1-2 Years,George Town,283,Sales workers not elsewhere classified,40,KYD,Per Week,"KYD$27,999.92 Per Annum (paid Weekly)","$28,000","$28,000","$28,000","$28,000","$28,000",Wholesale & Retail Sale of Business & Consumer Products,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles
